run_id,split,site,plot_name,reference_id,point_count,best_prediction_id,best_iou,overlapping_prediction_count,failure_mode
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,119,22396,99,0.21876393318928558,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,122,2955,85,0.08773006134969324,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,123,7981,85,0.06474857984430886,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,124,2146,82,0.004959034066407934,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,128,2230,94,0.06452205882352942,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,129,1490,87,0.002377784079753932,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_17_annotated,12,47149,27,0.3103854454813509,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_17_annotated,18,49219,5,0.49860679455578183,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_17_annotated,19,43907,5,0.21279300396682294,2,fragmented
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_17_annotated,30,566,56,0.005169502779200577,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_18_annotated,16,6902,7,0.26225319396051106,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_18_annotated,22,4370,4,0.02318709109901589,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_18_annotated,25,14362,22,0.07709436277294313,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_18_annotated,27,8509,48,0.045710116853876055,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_18_annotated,28,10960,38,0.32974452554744527,2,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_1_annotated,7,42888,36,0.49981421328315095,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_1_annotated,9,17892,40,0.09755589767752752,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_1_annotated,14,6288,24,0.027515693718753523,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_1_annotated,15,1049,24,0.0365436036965802,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_1_annotated,16,1110,24,0.025834529376360018,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_1_annotated,17,368,24,0.01598823417781573,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_1_annotated,18,988,24,0.029913531198878244,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_1_annotated,21,2449,22,0.04613571928274237,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_1_annotated,22,50561,22,0.3847740721304356,2,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_1_annotated,23,1359,26,0.01234094440183295,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_1_annotated,25,9499,28,0.051677425537290156,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_1_annotated,26,12790,36,0.1336442912188197,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_1_annotated,29,2876,41,0.031721906256128654,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_1_annotated,30,31776,53,0.07747951740588378,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_1_annotated,32,2632,23,0.005466074617817175,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_1_annotated,35,8727,4,0.039284035719880935,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_1_annotated,36,29431,20,0.1528979404333512,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_22_annotated,11,262160,3,0.026653940824835486,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_22_annotated,16,3800,30,0.02406306539157405,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_22_annotated,18,13984,14,0.08908161563441219,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_23_annotated,13,47850,45,0.2483976523139251,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_23_annotated,15,1200,36,0.009937921295926251,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_23_annotated,16,4289,43,0.48465266558966075,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_23_annotated,23,10701,26,0.028387709619670454,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_23_annotated,24,1415,4,0.00024052554832308594,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_23_annotated,26,4392,8,0.1601759330429584,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_23_annotated,27,19936,28,0.054897145759775126,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_23_annotated,28,1849,28,0.005725118959434519,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_23_annotated,29,39488,48,0.22314328179826243,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_5_annotated,3,57489,27,0.17787053638892178,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_5_annotated,4,66635,21,0.23062388094748892,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_5_annotated,13,25948,27,0.06035148267562781,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_5_annotated,14,22586,24,0.02719439956919763,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_5_annotated,15,71557,24,0.1731106567788921,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_5_annotated,16,11864,25,0.045527902828505905,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_5_annotated,17,41515,25,0.24343229530985752,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,plot_5_annotated,19,21648,10,0.1295280544855477,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,2,15654,29,0.49200829673011226,2,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,3,563,12,0.021384928716904276,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,70,561,6,0.04658619388909845,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,71,7110,6,0.4311085881112643,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,85,1982,15,0.12297540491901619,3,fragmented
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,91,973,14,0.16819647730091788,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,94,2762,30,0.41211025756891095,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,99,3012,28,0.48719837907533614,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,100,2808,23,0.10237410602374106,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,103,2165,30,0.296794208893485,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,105,2490,31,0.3325151057401813,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,107,2117,46,0.020567560531111688,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,142,1091,31,0.12507456750845097,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,143,413,30,0.06004828002414001,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,144,457,30,0.06813718084302765,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,164,124,5,0.32320441988950277,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,168,250,35,0.03142939150401837,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,169,307,35,0.00919476177208136,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,170,699,35,0.07822648969217735,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,171,1115,16,0.020739404869251576,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,173,111,14,0.01316829075585989,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,178,191,25,0.006607929515418502,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,183,381,41,0.0959711758925647,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,186,689,38,0.37919647771051185,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,189,802,1,0.0,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,190,188,39,0.0006729475100942127,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,194,212,39,0.16052227342549924,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,195,64,42,0.026836779586449627,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,196,578,39,0.44384615384615383,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,199,38,28,0.003147128245476003,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,201,248,37,0.002127659574468085,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,202,160,26,0.4948805460750853,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,203,146,26,0.358974358974359,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,205,1748,23,0.06361088575853677,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,206,1715,28,0.20031880977683317,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,207,1656,45,0.21144182450715113,2,fragmented
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,208,55,45,0.008209116439835818,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,210,1257,36,0.4195056780227121,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,211,1718,45,0.3710201429499675,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,212,1623,45,0.22857142857142856,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,213,1639,31,0.33952082883660695,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,218,137,47,0.03260025873221216,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,test,222,100,1,0.0,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,SCION,plot_31_annotated,9,118423,4,0.014332517504182416,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,SCION,plot_31_annotated,11,16495,5,0.29912128012079775,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,SCION,plot_31_annotated,12,20206,5,0.4068050823852071,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,SCION,plot_31_annotated,24,7904,20,0.23345159040601596,1,missed_tree
